vprog,input_nbr,g_max,tau_in,tau_out,lr,presentation_time,accuracy
-0.6,60000.0,0.1,0.03,0.03,0.0005,0.2,60.8
-0.6,60000.0,0.1,0.03,0.03,0.0005,0.35,68.01
-0.6,60000.0,0.1,0.03,0.03,0.0001,0.2,66.4
-0.6,60000.0,0.1,0.03,0.03,0.0001,0.35,64.77000000000001
-0.6,60000.0,0.1,0.03,0.06,0.0005,0.2,65.64
-0.6,60000.0,0.1,0.03,0.06,0.0005,0.35,66.08000000000001
-0.6,60000.0,0.1,0.03,0.06,0.0001,0.2,61.550000000000004
-0.6,60000.0,0.1,0.03,0.06,0.0001,0.35,58.3
-0.6,60000.0,0.1,0.03,0.1,0.0005,0.2,67.71000000000001
-0.6,60000.0,0.1,0.03,0.1,0.0005,0.35,57.3
-0.6,60000.0,0.1,0.03,0.1,0.0001,0.2,56.64
-0.6,60000.0,0.1,0.03,0.1,0.0001,0.35,61.86000000000001
-0.6,60000.0,0.1,0.03,0.15,0.0005,0.2,54.010000000000005
-0.6,60000.0,0.1,0.03,0.15,0.0005,0.35,66.82000000000001
-0.6,60000.0,0.1,0.03,0.15,0.0001,0.2,58.85
-0.6,60000.0,0.1,0.03,0.15,0.0001,0.35,63.24999999999999
-0.6,60000.0,0.1,0.03,0.2,0.0005,0.2,68.66
-0.6,60000.0,0.1,0.03,0.2,0.0005,0.35,61.67
-0.6,60000.0,0.1,0.03,0.2,0.0001,0.2,62.28
-0.6,60000.0,0.1,0.03,0.2,0.0001,0.35,70.25
-0.6,60000.0,0.1,0.06,0.03,0.0005,0.2,62.33
-0.6,60000.0,0.1,0.06,0.03,0.0005,0.35,63.75999999999999
-0.6,60000.0,0.1,0.06,0.03,0.0001,0.2,52.980000000000004
-0.6,60000.0,0.1,0.06,0.03,0.0001,0.35,62.739999999999995
-0.6,60000.0,0.1,0.06,0.06,0.0005,0.2,61.550000000000004
-0.6,60000.0,0.1,0.06,0.06,0.0005,0.35,66.75999999999999
-0.6,60000.0,0.1,0.06,0.06,0.0001,0.2,62.41
-0.6,60000.0,0.1,0.06,0.06,0.0001,0.35,53.269999999999996
-0.6,60000.0,0.1,0.06,0.1,0.0005,0.2,61.150000000000006
-0.6,60000.0,0.1,0.06,0.1,0.0005,0.35,63.6
-0.6,60000.0,0.1,0.06,0.1,0.0001,0.2,54.64
-0.6,60000.0,0.1,0.06,0.1,0.0001,0.35,61.419999999999995
-0.6,60000.0,0.1,0.06,0.15,0.0005,0.2,62.25000000000001
-0.6,60000.0,0.1,0.06,0.15,0.0005,0.35,65.16999999999999
-0.6,60000.0,0.1,0.06,0.15,0.0001,0.2,62.92
-0.6,60000.0,0.1,0.06,0.15,0.0001,0.35,58.81999999999999
-0.6,60000.0,0.1,0.06,0.2,0.0005,0.2,63.33
-0.6,60000.0,0.1,0.06,0.2,0.0005,0.35,69.61
-0.6,60000.0,0.1,0.06,0.2,0.0001,0.2,54.769999999999996
-0.6,60000.0,0.1,0.06,0.2,0.0001,0.35,58.040000000000006
-0.6,60000.0,0.1,0.1,0.03,0.0005,0.2,59.019999999999996
-0.6,60000.0,0.1,0.1,0.03,0.0005,0.35,60.85
-0.6,60000.0,0.1,0.1,0.03,0.0001,0.2,54.99000000000001
-0.6,60000.0,0.1,0.1,0.03,0.0001,0.35,60.419999999999995
-0.6,60000.0,0.1,0.1,0.06,0.0005,0.2,54.15
-0.6,60000.0,0.1,0.1,0.06,0.0005,0.35,61.88
-0.6,60000.0,0.1,0.1,0.06,0.0001,0.2,54.85
-0.6,60000.0,0.1,0.1,0.06,0.0001,0.35,54.86
-0.6,60000.0,0.1,0.1,0.1,0.0005,0.2,60.39
-0.6,60000.0,0.1,0.1,0.1,0.0005,0.35,60.089999999999996
