vprog,input_nbr,g_max,tau_in,tau_out,gain_in,gain_out,bias_in,bias_out,thr_out,inhibition_time,lr,presentation_time,accuracy
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,50.0,8.0,0.0001,0.2,59.84
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,50.0,10.0,0.0001,0.2,52.51
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,50.0,12.0,0.0001,0.2,57.29
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,70.0,8.0,0.0001,0.2,56.68
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,70.0,10.0,0.0001,0.2,59.230000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,70.0,12.0,0.0001,0.2,53.65
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,90.0,8.0,0.0001,0.2,52.28
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,90.0,10.0,0.0001,0.2,52.49
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,-0.125,90.0,12.0,0.0001,0.2,53.769999999999996
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,50.0,8.0,0.0001,0.2,50.2
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,50.0,10.0,0.0001,0.2,50.91
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,50.0,12.0,0.0001,0.2,46.78
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,70.0,8.0,0.0001,0.2,53.92
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,70.0,10.0,0.0001,0.2,56.54
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,70.0,12.0,0.0001,0.2,57.410000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,90.0,8.0,0.0001,0.2,50.28
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,90.0,10.0,0.0001,0.2,52.94
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.0,90.0,12.0,0.0001,0.2,55.15
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,50.0,8.0,0.0001,0.2,58.64
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,50.0,10.0,0.0001,0.2,55.58
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,50.0,12.0,0.0001,0.2,58.57
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,70.0,8.0,0.0001,0.2,55.64
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,70.0,10.0,0.0001,0.2,51.970000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,70.0,12.0,0.0001,0.2,60.629999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,90.0,8.0,0.0001,0.2,52.07000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,-0.125,0.125,90.0,10.0,0.0001,0.2,50.449999999999996
