vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,ref,accuracy,accuracy_2
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.002,21.0,18.2
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.005,18.9,16.7
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,10.0,0.0,0.001,21.7,18.6
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.002,25.3,18.6
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.005,17.7,16.4
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.001,20.0,2.0,0.0,0.001,23.3,20.1
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.002,27.0,32.5
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.005,23.5,29.5
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,0.001,16.6,23.9
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.002,21.9,27.1
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.005,24.7,26.4
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,2.0,0.0,0.001,20.200000000000003,25.3
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.002,27.700000000000003,33.5
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.005,29.099999999999998,29.1
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,10.0,0.0,0.001,35.8,41.4
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.002,29.5,32.8
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.005,20.5,29.8
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.001,20.0,2.0,0.0,0.001,36.1,41.2
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.002,16.0,24.9
-0.9,0.015,0.5,1000.0,0.06,0.06,1.0,1.0,0.1,0.005,20.0,10.0,0.0,0.005,30.8,33.5
