vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,ref,synapse_layer_1,accuracy,accuracy_2
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,18.3,30.9
-0.9,0.1,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,17.0,33.2
-0.9,0.5,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,19.3,29.7
-0.9,1.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,20.1,30.7
-0.9,10.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,25.1,33.2
-0.85,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,17.299999999999997,29.5
-0.85,0.1,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,17.0,31.3
-0.85,0.5,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,21.4,32.5
-0.85,1.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,20.1,31.9
-0.85,10.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,25.7,38.4
-0.8,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,16.2,29.8
-0.8,0.1,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,19.3,30.3
-0.8,0.5,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,21.8,32.3
-0.8,1.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,21.099999999999998,31.3
-0.8,10.0,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,50.0,10.0,0.0,0.002,,26.0,36.1
