vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,accuracy,accuracy_2
-0.9,0.05,0.16,1000.0,0.15,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,40.08333333333333,43.28
-0.9,0.05,0.16,1000.0,0.15,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,47.66666666666667,49.0
-0.9,0.05,0.16,1000.0,0.15,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.483333333333334,52.4
-0.9,0.05,0.16,1000.0,0.15,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,51.483333333333334,55.47
-0.9,0.05,0.16,1000.0,0.09,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.0,49.33
-0.9,0.05,0.16,1000.0,0.09,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,43.916666666666664,48.68
-0.9,0.05,0.16,1000.0,0.09,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.849999999999994,56.92
-0.9,0.05,0.16,1000.0,0.09,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.53333333333333,53.95
-0.9,0.05,0.16,1000.0,0.06,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.900000000000006,55.35
-0.9,0.05,0.16,1000.0,0.06,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.400000000000006,53.7
-0.9,0.05,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,52.1,52.68
-0.9,0.05,0.16,1000.0,0.06,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,57.616666666666674,58.07
-0.9,0.05,0.16,1000.0,0.03,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.81666666666667,55.67
-0.9,0.05,0.16,1000.0,0.03,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,59.650000000000006,59.68
-0.9,0.05,0.16,1000.0,0.03,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.78333333333333,57.27
-0.9,0.05,0.16,1000.0,0.03,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.46666666666666,56.62
-0.9,0.07,0.16,1000.0,0.15,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,48.31666666666667,50.23
-0.9,0.07,0.16,1000.0,0.15,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,50.24999999999999,54.27
-0.9,0.07,0.16,1000.0,0.15,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.766666666666666,56.92
-0.9,0.07,0.16,1000.0,0.15,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,47.266666666666666,54.02
-0.9,0.07,0.16,1000.0,0.09,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,56.71666666666667,57.02
-0.9,0.07,0.16,1000.0,0.09,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,56.25,57.37
-0.9,0.07,0.16,1000.0,0.09,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.78333333333333,57.75
-0.9,0.07,0.16,1000.0,0.09,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.2,55.62
-0.9,0.07,0.16,1000.0,0.06,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.75,56.03
-0.9,0.07,0.16,1000.0,0.06,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.666666666666664,55.32
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,54.1,55.18
-0.9,0.07,0.16,1000.0,0.06,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.766666666666666,55.88
-0.9,0.07,0.16,1000.0,0.03,0.15,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.46666666666666,54.2
-0.9,0.07,0.16,1000.0,0.03,0.09,1.0,1.0,0.35,0.005,20.0,10.0,0.0,53.333333333333336,55.17
-0.9,0.07,0.16,1000.0,0.03,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,56.05,58.38
-0.9,0.07,0.16,1000.0,0.03,0.03,1.0,1.0,0.35,0.005,20.0,10.0,0.0,49.55,53.35
