vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,accuracy,accuracy_2
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,5.0,0.0,52.38333333333334,55.18
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,49.3,53.43
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,15.0,0.0,54.71666666666667,55.82
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,20.0,0.0,56.56666666666666,57.22
-0.9,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,25.0,0.0,55.666666666666664,56.47
-0.8,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,5.0,0.0,51.21666666666667,51.65
-0.8,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,0.0,55.55,56.68
-0.8,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,15.0,0.0,49.333333333333336,53.9
-0.8,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,20.0,0.0,53.61666666666667,55.47
-0.8,0.07,0.16,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,20.0,25.0,0.0,54.35,54.67
