vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,vprog_increment,ref,accuracy,accuracy_2
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.001,60.68333333333334,64.0
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.002,66.03333333333333,66.7
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.003,60.46666666666667,62.73
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.004,58.93333333333334,60.48
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.005,54.0,58.43
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,5.0,0.0,0.01,45.58333333333333,54.38
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,10.0,0.0,0.001,61.61666666666667,62.88
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,10.0,0.0,0.002,59.650000000000006,59.72
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,10.0,0.0,0.003,63.28333333333334,64.02
-0.9,0.075,0.5,1000.0,0.06,0.06,1.0,1.0,0.35,0.005,30.0,10.0,0.0,0.004,64.4,67.42
