vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.2,0.0,20.9,26.7,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.4,0.0,29.099999999999998,37.5,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.6,0.0,42.5,47.0,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,2.0,2.0,0.2,0.0,28.199999999999996,32.6,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,2.0,2.0,0.4,0.0,39.7,43.0,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,2.0,2.0,0.6,0.0,38.0,45.1,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,4.0,2.0,0.2,0.0,37.0,37.4,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,4.0,2.0,0.4,0.0,39.900000000000006,45.7,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,4.0,2.0,0.6,0.0,27.800000000000004,39.0,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,1.0,2.0,0.2,0.0,12.9,25.6,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,1.0,2.0,0.4,0.0,27.1,32.5,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,1.0,2.0,0.6,0.0,42.9,49.9,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,2.0,2.0,0.2,0.0,32.9,41.0,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,2.0,2.0,0.4,0.0,35.0,40.8,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,2.0,2.0,0.6,0.0,34.9,40.4,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,4.0,2.0,0.2,0.0,33.5,40.4,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,4.0,2.0,0.4,0.0,35.199999999999996,39.6,100.0
0.0,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,2.0,-2.0,4.0,2.0,0.6,0.0,41.099999999999994,42.3,100.0
-0.25,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.2,0.0,19.7,28.6,100.0
-0.25,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.4,0.0,27.700000000000003,34.8,100.0
-0.25,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,1.0,2.0,0.6,0.0,45.300000000000004,48.0,100.0
-0.25,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,2.0,2.0,0.2,0.0,30.3,36.6,100.0
-0.25,1.0,0.5,1000.0,0.1,0.06,1.0,1.0,0.35,0.0,0.005,20.0,10.0,0.002,,1.0,0.0,2.0,-2.0,2.0,2.0,0.4,0.0,40.1,45.4,100.0
